area,bedrooms,bathrooms,city,price
1200,2,2,Pokhara,4500000
1500,,3,Kathmandu,6500000
1800,3,2,Chitwan,5200000
2200,4,3,Pokhara,7500000
950,2,1,Butwal,3200000
1300,3,2,Kathmandu,5800000
1700,3,,Pokhara,6100000
2000,4,3,Chitwan,6900000
1100,2,2,Butwal,3900000
2500,5,4,Kathmandu,9800000
1400,3,2,Pokhara,5400000
1600,3,2,Butwal,5100000
1900,4,3,Kathmandu,7300000
2100,,3,Pokhara,7700000
1250,2,2,Chitwan,4700000
1450,3,2,Butwal,4950000
1750,3,3,Kathmandu,6700000
2300,4,4,Pokhara,8500000
1000,2,1,Chitwan,3500000
1550,3,2,Butwal,5300000
,4,3,Kathmandu,7200000
1350,2,2,Pokhara,5000000
1850,4,3,Chitwan,6400000
2400,5,4,Kathmandu,9400000
1150,2,,Butwal,3700000
1650,3,2,Pokhara,6000000
1950,4,3,Kathmandu,7600000
2250,4,4,Chitwan,8100000
1050,2,1,Pokhara,3800000
1500,3,2,Butwal,5200000
